Price	Open	High	Low
76.5	80.2	80.2	76
79.1	79.45	80	78.8
79	77.95	80.3	77.95
77.95	77.95	80.9	77.95
77.95	75.8	77.95	75.4
74.05	76.2	76.2	74.05
75	74.25	75	73.7
74.35	76	76.2	74.35
75.4	75.6	75.6	75.3
75.6	74.35	76	74.35
75.1	73.9	75.4	73.5
73.5	74	74	73.05
73.7	73.5	73.7	73.4
73	72.9	73	72.9
72.9	72.9	73	72.75
72.9	74.95	74.95	72.1
75	74.5	75	72.7
74.85	75.4	75.4	74.5
75.4	77.65	77.75	74.3
77.65	78.05	78.05	77.6
78.05	78.2	78.2	77.9
78	77.95	78.5	77.9
77.9	76.45	78.15	76.45
76.45	77.85	78.25	75
77.85	78.7	78.7	75
79	78	79	75.85
78	75.9	78	75.9
75.9	75.75	75.9	75.65
75.5	74.5	75.7	74.05
74.8	73.8	75.45	73.5
73.5	73	73.9	73
73	73	73.4	72
72	71.2	73.5	71.15
71.05	70.8	71.25	70.7
70.9	71	71.2	70.7
70.7	70.4	71.65	70.4
70.35	68	70.45	68
70.8	70.75	71.7	70.75
70.5	71.4	71.4	70.5
70	68	71.5	67.8
67.5	64	67.5	63.1
64.3	63.65	65	63.65
64.3	64.5	66	63.5
66.3	65.5	66.3	64
65.5	65.5	66.15	65.3
66	65.6	66.4	65.25
66.4	67	67	66.1
67	66.8	67	66.6
66.8	65	66.8	64.4
65.9	66.5	66.5	65.5
66.5	65.05	66.5	64.75
65	63.95	65	63.95
64	63.9	64.15	63.6
63.95	63.7	64	63.5
63.7	64	64	63.4
64	64.4	64.5	63.5
64.5	64.1	64.5	64.1
64.55	63.4	64.6	63.4
64.45	64.4	64.5	63.9
64.5	64.5	64.5	64.45
64.5	64.4	64.5	64.05
64.7	64.45	64.7	64.35
64.45	64.45	64.45	64
64	64	64.2	63.4
64	64.35	64.5	63.35
64.5	64.95	64.95	64.3
64.95	65	65	63.75
65	64.75	65	64.4
64.55	65.3	65.3	64.3
64.05	65	65	63.95
65	63.05	65	63.05
63.05	62.75	63.3	62
63.8	64.3	64.6	61.1
64.25	64	64.65	64
63.4	61.9	63.5	60.8
61.5	60.8	61.5	60.8
60	61	62	60
60.7	61.8	61.8	60.7
60.15	61.55	63.55	60.15
61	60.3	61.1	60.3
60.3	60.3	61.1	60.05
60.2	60.15	60.3	60.05
60.1	60.15	60.3	59.85
60.15	60.15	60.15	59.7
59.95	61	61.2	59.9
60.2	59.05	61	59.05
59	58.1	59	57.45
58.1	57	58.1	56.9
57	57.8	57.85	56.9
57.8	57.55	58	57.45
58	57.85	58.05	57.55
57.95	58	58.25	57.5
57.45	57.7	57.8	57.4
57.3	57.95	58.35	57
57.9	57.85	57.95	57.8
57.85	57.95	57.95	57.75
57.85	57.9	57.95	57.8
57.9	57.2	57.95	57.2
57.9	57.6	57.95	57.6
57.9	57.35	57.9	57.35
57.35	56.15	57.45	56.1
57.8	56.5	57.8	56.5
57.7	56.7	57.95	56.7
57.25	56.2	57.25	56.2
56.2	58	58	55.9
56.8	56.2	57	56.2
58	58.65	58.65	55.05
58.5	57	58.65	56.95
57	57	57	56.25
57.3	54.5	57.3	54.5
54.5	54.4	56.1	54.4
56.95	54.7	56.95	54.35
54.4	54.25	54.5	53.95
54.4	54.2	55	54.2
55.45	55.8	56	55
55.15	55.4	55.4	55.05
55.4	55.05	55.8	55.05
56.5	56.45	56.6	56.35
56.45	55	56.6	55
56.1	55.45	57.1	54.95
55	55	55.65	55
54.5	55.25	55.55	54.05
56.3	56	56.7	55.1
56	57.85	57.85	56
57.9	57.85	58	57.8
57.75	57.95	57.95	57.2
57.2	58	58	57.2
57.95	57.85	57.95	57.75
57.8	57.85	57.9	57.6
57.9	58	58	57.8
57.95	57.3	58	56.9
56.5	56.85	57.25	56.5
56.85	56	57.25	56
56.95	56.3	57	56.25
56.1	56.3	56.3	55.35
55.9	56.25	56.25	55.25
56.3	54.9	56.35	52.5
54.9	57	57.15	54.9
57.6	56.7	57.6	56.35
56.7	56.95	57.5	56.3
56.95	57.1	57.25	56.3
57.1	56.75	57.4	56.7
57.35	56.2	57.55	56.2
57.7	57.85	57.85	57.25
57.55	57.85	58	56.5
57.85	57.45	58	57.4
56.6	57.05	58.3	56.6
57.75	57.9	57.9	57.2
57.85	57.75	57.9	56.95
56.1	57.85	57.85	56.1
57.85	57.85	57.85	57
57.85	57.05	57.85	55.7
55.7	55.25	57.2	55.25
55.2	56	56.2	52.9
57	56.75	57.3	55.9
56.8	56.6	56.85	56
56.6	56.05	56.6	56
56.5	56.9	56.9	56
56.8	57	57	55.9
56.15	56.15	56.55	56.15
56.15	56.5	56.75	56.15
56.5	57.35	57.35	56.3
57.35	57.1	57.7	57.1
57.05	57.6	57.6	56.95
56	56	57.2	56
58	57	58	56.35
57.3	57	57.8	56.7
57	57.1	57.95	56.55
57.1	58.2	58.2	57.1
57.75	57.5	58.2	57.5
57.4	57.8	57.8	57
57.7	56.6	57.8	56.6
57.5	57.8	57.85	56
57.8	57	58	57
57	57.95	58	56.5
57.4	56.2	57.5	55.9
55.9	56.05	56.7	55.7
56.05	57.9	57.9	56.05
57.5	58.2	58.4	57.35
57.5	58.1	58.1	57.2
57.8	57.75	58	57.7
57.5	58.1	58.1	56.6
58.1	57.95	58.1	57.95
57.25	56.9	57.9	56.9
56.85	57	57.5	56.5
56.6	57.8	57.85	56.6
57.7	57.8	57.9	57.65
57.6	57	57.9	56.6
57.55	57.9	58.2	56.55
57.9	58.2	58.2	56.7
58.2	58.45	58.45	56.5
58	58.2	58.2	57.5
57.95	58	58	57.3
57.45	58.5	58.5	57.45
58.2	57.6	58.4	57.6
58	58.45	58.45	58
57.55	58	58.1	57.1
58	57.95	58	56.5
57.95	58.1	58.1	56.05
58	56.05	58	56
57.25	57.6	57.8	57
57.65	58.35	58.5	57.15
57.9	56.1	58.45	56.1
57.9	55.3	57.9	55.3
57.55	55.7	57.55	55.6
55.7	55	55.7	53
54.8	54.5	55	54
55.1	54	55.1	53.65
53.5	53.1	53.9	53.1
52.8	51.95	52.9	51.5
51.95	52	52.1	50.05
53.65	56.8	56.8	53
57.5	57.55	57.55	57.05
57.5	57.1	57.65	57
57.5	57.5	57.5	57.15
57.5	57.25	57.5	57
57.5	57.25	57.5	57.2
57.55	57.4	57.6	57.4
57.45	57.5	57.6	57.45
57.7	57.55	57.95	57.5
58.05	57.5	58.5	57.5
58	58	58.5	57.6
57.7	58.8	58.8	57.7
58.8	58.9	58.9	58.7
58.75	58.3	58.75	58.3
58.3	59	59	57.2
58.5	59	59	57.95
58.9	58.95	59	58.6
58.6	57.8	59	57.8
57.8	57.2	58	56.1
57.45	57.8	57.85	57.2
57.75	59	59.05	57.75
59	58.5	59	58.05
58.65	58.65	58.65	57.9
58.6	58	58.6	57.2
58	57.45	58.5	57
58.5	57.8	58.5	57.65
57.3	57.4	57.5	57
57.1	57.5	57.75	57.05
57.5	57	57.9	57
57.25	56.3	57.45	56.3
57.95	57.1	57.95	56.8
57.1	57.05	57.2	57
57.3	57.95	57.95	57.05
58	57.45	58	57
57	57	57.2	57
57	57.1	57.1	56.4
57.55	56.85	57.6	56.8
58.05	56.65	58.2	56.6
57.9	57.9	58	57
57.9	57.9	58	57.85
56.8	58.25	58.25	56.8
58.3	57.1	58.3	56.65
57	57.3	57.5	56.65
57.3	56.9	57.3	56.55
56.55	56.05	57.3	56.05
57	57	57	56.2
56.3	56.1	56.35	56.05
56.1	56	56.35	55.55
56.2	57.2	57.2	56
56.8	55.5	56.8	55.25
55.4	54	55.4	54
54.5	54.5	55.3	53
54.7	55.6	55.6	54.5
55.6	55.55	55.9	55.5
55.8	56.5	56.5	55.5
56.5	56	57	56
57.05	56.3	57.2	55.95
57.35	57.4	57.5	55.6
56	56.4	57.8	56
56.95	57	57	55.6
57	57	57.5	56.5
57.2	57.4	57.5	57
57.4	57.45	57.45	57.2
57.45	57.4	57.45	56.8
57	57.45	57.45	56.55
56.5	57.35	58.2	56.3
57.6	57.8	57.95	57.5
57.5	57.6	57.7	57.5
57.65	57.9	57.9	57.2
57.25	56.9	57.95	56.2
57.95	56.75	58	56.75
57.75	57.45	58	56.5
57.9	57.65	57.9	57.55
57.65	57.3	57.9	57.3
56.8	56.8	58	55.6
57.5	57.5	57.5	57
57.5	57.6	57.6	57.3
57	57	57	56
56.65	57.2	57.7	54.5
57.2	58.05	58.05	57
